ID,'nol_new_early_w_nol_new_early_RSComplex_3','nol_new_late_w_nol_new_late_RSComplex_3','ol_new_early_w_ol_new_early_RSComplex_3','ol_new_late_w_ol_new_late_RSComplex_3','ol_new_early_w_nol_new_early_RSComplex_3','ol_new_late_w_nol_new_late_RSComplex_3','ol_new_early_w_ol_old_early_RSComplex_3','ol_new_late_w_ol_old_late_RSComplex_3','nol_new_early_w_nol_new_early_RSComplex_2','nol_new_late_w_nol_new_late_RSComplex_2','ol_new_early_w_ol_new_early_RSComplex_2','ol_new_late_w_ol_new_late_RSComplex_2','ol_new_early_w_nol_new_early_RSComplex_2','ol_new_late_w_nol_new_late_RSComplex_2','ol_new_early_w_ol_old_early_RSComplex_2','ol_new_late_w_ol_old_late_RSComplex_2','nol_new_early_w_nol_new_early_RSComplex_1','nol_new_late_w_nol_new_late_RSComplex_1','ol_new_early_w_ol_new_early_RSComplex_1','ol_new_late_w_ol_new_late_RSComplex_1','ol_new_early_w_nol_new_early_RSComplex_1','ol_new_late_w_nol_new_late_RSComplex_1','ol_new_early_w_ol_old_early_RSComplex_1','ol_new_late_w_ol_old_late_RSComplex_1','nol_new_early_w_nol_new_early_RSComplex_0','nol_new_late_w_nol_new_late_RSComplex_0','ol_new_early_w_ol_new_early_RSComplex_0','ol_new_late_w_ol_new_late_RSComplex_0','ol_new_early_w_nol_new_early_RSComplex_0','ol_new_late_w_nol_new_late_RSComplex_0','ol_new_early_w_ol_old_early_RSComplex_0','ol_new_late_w_ol_old_late_RSComplex_0','nol_new_early_w_nol_new_early_ba2930_3','nol_new_late_w_nol_new_late_ba2930_3','ol_new_early_w_ol_new_early_ba2930_3','ol_new_late_w_ol_new_late_ba2930_3','ol_new_early_w_nol_new_early_ba2930_3','ol_new_late_w_nol_new_late_ba2930_3','ol_new_early_w_ol_old_early_ba2930_3','ol_new_late_w_ol_old_late_ba2930_3','nol_new_early_w_nol_new_early_ba2930_2','nol_new_late_w_nol_new_late_ba2930_2','ol_new_early_w_ol_new_early_ba2930_2','ol_new_late_w_ol_new_late_ba2930_2','ol_new_early_w_nol_new_early_ba2930_2','ol_new_late_w_nol_new_late_ba2930_2','ol_new_early_w_ol_old_early_ba2930_2','ol_new_late_w_ol_old_late_ba2930_2','nol_new_early_w_nol_new_early_ba2930_1','nol_new_late_w_nol_new_late_ba2930_1','ol_new_early_w_ol_new_early_ba2930_1','ol_new_late_w_ol_new_late_ba2930_1','ol_new_early_w_nol_new_early_ba2930_1','ol_new_late_w_nol_new_late_ba2930_1','ol_new_early_w_ol_old_early_ba2930_1','ol_new_late_w_ol_old_late_ba2930_1','nol_new_early_w_nol_new_early_ba2930_0','nol_new_late_w_nol_new_late_ba2930_0','ol_new_early_w_ol_new_early_ba2930_0','ol_new_late_w_ol_new_late_ba2930_0','ol_new_early_w_nol_new_early_ba2930_0','ol_new_late_w_nol_new_late_ba2930_0','ol_new_early_w_ol_old_early_ba2930_0','ol_new_late_w_ol_old_late_ba2930_0','nol_new_early_w_nol_new_early_hippo_3','nol_new_late_w_nol_new_late_hippo_3','ol_new_early_w_ol_new_early_hippo_3','ol_new_late_w_ol_new_late_hippo_3','ol_new_early_w_nol_new_early_hippo_3','ol_new_late_w_nol_new_late_hippo_3','ol_new_early_w_ol_old_early_hippo_3','ol_new_late_w_ol_old_late_hippo_3','nol_new_early_w_nol_new_early_hippo_2','nol_new_late_w_nol_new_late_hippo_2','ol_new_early_w_ol_new_early_hippo_2','ol_new_late_w_ol_new_late_hippo_2','ol_new_early_w_nol_new_early_hippo_2','ol_new_late_w_nol_new_late_hippo_2','ol_new_early_w_ol_old_early_hippo_2','ol_new_late_w_ol_old_late_hippo_2','nol_new_early_w_nol_new_early_hippo_1','nol_new_late_w_nol_new_late_hippo_1','ol_new_early_w_ol_new_early_hippo_1','ol_new_late_w_ol_new_late_hippo_1','ol_new_early_w_nol_new_early_hippo_1','ol_new_late_w_nol_new_late_hippo_1','ol_new_early_w_ol_old_early_hippo_1','ol_new_late_w_ol_old_late_hippo_1','nol_new_early_w_nol_new_early_hippo_0','nol_new_late_w_nol_new_late_hippo_0','ol_new_early_w_ol_new_early_hippo_0','ol_new_late_w_ol_new_late_hippo_0','ol_new_early_w_nol_new_early_hippo_0','ol_new_late_w_nol_new_late_hippo_0','ol_new_early_w_ol_old_early_hippo_0','ol_new_late_w_ol_old_late_hippo_0'
s01,0.062877478,0.050471109,0.060083337,0.054111712,0.060558963,0.072354313,0.006656918,0.029511175,0.040527832,0.088648564,0.03607186,0.044715923,0.045252555,0.061624545,0.049631888,0.051225982,0.038256162,0.090818457,0.053377768,0.058659692,0.056303203,0.071010493,0.058195491,0.058136613,0.115960314,0.062383997,0.046532453,0.069282514,0.080193008,0.077399836,0.065022739,0.065252874,0.078498494,0.046404779,0.09332201,0.057238303,0.086052116,0.072010379,0.006796762,0.024126746,0.059510764,0.097362546,0.045793365,0.048689878,0.057703727,0.077835175,0.057747541,0.068082645,0.057582961,0.081295189,0.041052885,0.035126528,0.05903474,0.04093064,0.051937565,0.046462859,0.088222723,0.069122459,0.063943108,0.064832752,0.082051309,0.079880163,0.052052183,0.064545611,0.025275213,0.006516383,0.028115648,0.026344587,0.022883769,0.029382423,-0.009993823,0.021431748,0.015474557,0.021857856,0.017338831,0.024641379,0.020694848,0.024351847,0.012424727,0.036148139,0.005478955,0.018773899,0.007171055,0.004194364,0.01988764,0.008184351,0.010237295,0.01736685,0.035120434,0.013735749,0.023987218,0.046200578,0.032685581,0.032467722,0.017820333,0.031740941
s02,-0.001256343,0.08492175,0.028506196,0.138159425,0.025771178,0.113011047,0.016431678,0.088020951,0.013804598,0.10529235,0.079447884,0.12819126,0.05235104,0.114448516,0.037321604,0.083422182,0.041702643,0.090306927,0.044823233,0.123341595,0.052305851,0.103008584,0.024411595,0.077572374,0.029243778,-0.004928252,-0.001716127,0.007869928,-0.006172357,0.005128479,0.008773733,0.01772543,0.014636272,0.070239633,0.043983427,0.154335267,0.0488363,0.097017979,-0.023924124,0.090446676,-0.001938949,0.09128426,0.052407321,0.076839584,0.026446832,0.092023254,0.010914271,0.056447427,0.009051847,0.099666353,0.029196721,0.090825145,0.030353444,0.094605846,0.007481855,0.061335208,0.027054054,0.000430067,0.003396839,0.025195942,0.000410423,0.011966722,0.005842837,0.035307807,-0.005891995,-0.012477326,0.005769062,0.007362326,0.01482083,0.000394141,-0.009883909,-0.013885983,0.000762953,-0.001957021,-0.004625443,0.02634176,0.008934322,0.006078423,0.003199917,-0.008714278,-0.007114791,-0.004825343,-0.004130915,0.00879928,0.004744603,0.008372337,-0.001448638,0.002962808,-0.000671082,-0.025439242,-0.00605127,-0.005147789,0.001513223,-0.004843022,0.009072098,0.000387821
s03,0.074707801,0.091937284,0.15256188,0.068463681,0.102851797,0.07646846,0.063247364,0.071379289,0.192767904,0.079843308,0.121131231,0.117557355,0.149050132,0.105250999,0.075929969,0.085598191,0.130691087,0.106700233,0.12367864,0.109558126,0.119222103,0.109308528,0.060450363,0.087960117,0.074440098,0.059356158,0.097075395,0.030659735,0.090239586,0.055540434,0.028966092,0.013485676,0.072551615,0.017119206,0.146619349,0.034945825,0.084160794,0.017518617,0.053492023,0.027711209,0.091554837,0.051774697,0.048873574,0.041045104,0.06999529,0.058693693,0.024761211,0.038146956,0.039621145,0.05650861,0.071786468,0.023631612,0.04616659,0.054508925,0.004010253,0.022358145,0.059750421,0.024304538,0.050512876,0.033942663,0.069740893,0.056266463,0.015720763,0.015185112,0.060532279,0.022445071,0.106073562,0.004658862,0.072274582,0.027962811,0.046630442,0.022244724,0.067549751,0.041851587,0.033297527,0.036921951,0.046032785,0.033002395,0.012805378,0.019254473,0.036613894,0.034756546,0.04078216,0.004047,0.030197747,0.027307976,0.004168783,0.028025045,0.013173573,-0.001510769,0.039968548,-0.006133089,0.026942051,0.017509902,0.018676071,0.000350333
s05,0.038924326,0.045025192,0.125648223,0.022597122,0.065154852,0.038239157,0.038100649,0.037173386,0.029705879,0.065784644,0.049736214,0.050707433,0.04503258,0.047743479,0.024877492,0.053218681,0.005325978,0.05461387,0.024257298,0.025820179,0.02493651,0.031954694,0.022481766,0.033335971,0.04811742,0.036133112,0.090225858,0.02894436,0.062062496,0.031860984,0.054155013,0.035118863,0.044600385,0.054317294,0.138290023,0.00252375,0.071832946,0.034996985,0.06220836,0.027687761,0.010013914,0.049546792,0.035295319,0.016368428,0.026390558,0.019781685,0.020533168,0.016631161,-0.004739756,0.037118852,0.013509544,0.010279674,0.021343416,0.012388747,0.016883794,0.004434972,0.035856186,0.027247949,0.119940081,0.009810535,0.03442929,0.033925449,0.062154841,0.036858087,0.004765291,0.017263149,0.055938992,-0.003801428,0.029790819,-0.000561157,0.009686742,0.018327028,-0.002252507,0.017202269,0.01749952,0.007052781,0.008813493,-0.001796839,0.003381338,0.003871924,-0.000747845,0.008533148,0.006809505,0.004041407,0.007601466,-0.007568401,-0.003668238,0.008432944,0.008307024,0.023708903,0.024726715,0.011450117,0.016997528,0.003759263,0.016343701,0.01174965
s07,0.077826104,0.066762289,0.050038584,0.147082653,0.039999463,0.06501471,0.032163458,0.086742425,0.166413549,0.04413624,0.092105534,0.042480132,0.114366255,0.047574764,0.081849893,0.048398636,0.099635719,0.061700845,0.086686465,0.061295932,0.094488965,0.060068511,0.072737332,0.057901572,0.064268078,0.020961738,0.005868917,0.059998776,0.033802428,0.038121347,0.024248474,0.032898323,0.075295071,0.022836424,0.067639857,0.101042204,0.049292825,0.022713527,0.019887268,0.05140645,0.096224861,0.02315334,0.064042408,0.032989132,0.05606351,0.033709852,0.045755061,0.034299965,0.051188234,0.025629602,0.03204058,0.047936452,0.051572809,0.02824831,0.018655776,0.022754861,0.068437197,0.016214796,0.017988653,0.044126994,0.037129253,0.032118698,0.010939696,0.022844643,0.024440451,0.007115394,0.027991096,0.065854791,-0.003594542,-0.003243333,-0.004187534,-0.00206409,0.046001229,0.010092444,0.007615472,0.020422214,0.015069113,0.019845438,0.009469332,0.012412386,0.011574966,0.001374199,0.005239963,0.009433791,0.008820029,0.011141682,6.90E-05,0.014165623,0.011195003,0.00185458,-0.014035839,0.005697688,0.005718296,0.014685779,0.006831547,0.004667881
s09,0.094113197,0.165351662,0.184418982,0.110265987,0.114670184,0.139566251,0.080377757,0.158244468,0.147826772,0.136127257,0.121163689,0.112630458,0.136848727,0.122925767,0.101275689,0.11488953,0.11100109,0.13137171,0.101191181,0.14426098,0.108592843,0.137134341,0.077285213,0.14973063,0.040779559,0.104845256,0.049230664,0.169434404,0.043963088,0.106546865,0.003075689,0.145938048,0.047957961,0.148002791,0.124289995,0.113283847,0.068856862,0.129189331,0.050713505,0.158474292,0.116859804,0.12042632,0.061462892,0.132076977,0.086788358,0.12297812,0.066098724,0.132585196,0.072901829,0.090608082,0.057993395,0.096467065,0.068853799,0.10220525,0.052733343,0.117717443,0.041165626,0.08988416,0.059537776,0.140820616,0.049984909,0.094230166,0.024932434,0.123800646,0.026443981,0.081402743,0.021442895,0.0693767,0.017005769,0.077053053,0.008894418,0.08353079,0.034602094,0.048152641,0.016383968,0.046282347,0.028212221,0.042534726,0.026919714,0.046083202,0.009360983,0.040745996,0.012508848,0.054782674,0.025090607,0.054552472,0.017919302,0.058874102,0.034067669,0.022662112,0.001404299,0.068146627,0.015698862,0.032657435,0.011330912,0.030591747
s10,0.112869382,0.08951099,0.123233024,0.105999329,0.117128891,0.096004178,0.14186807,0.122044294,0.105168233,0.052388669,0.127413638,0.089182092,0.12329319,0.074439641,0.128597396,0.067999872,0.071076376,0.071864801,0.096566602,0.077389451,0.090393585,0.081012932,0.098171818,0.075415622,0.038758433,0.039958853,0.059631831,0.028289632,0.047228185,0.041726321,0.058832424,0.027279029,0.103723425,0.036878212,0.116812247,0.073290939,0.107687905,0.063298049,0.119041615,0.096739374,0.043245983,0.011950438,0.052663748,0.044555935,0.056362752,0.040925021,0.076743492,0.037735601,0.039720192,0.030496014,0.057095965,0.033504391,0.05094126,0.039961309,0.050941585,0.028423144,0.029982188,0.013510776,0.075424864,0.02320143,0.050254792,0.036354331,0.077652986,0.013877227,-0.001349196,0.023968171,0.014315226,0.004066596,0.00763679,0.010820971,0.002238321,0.026750227,0.024344965,0.002734385,-0.002956127,0.015487663,0.009342968,0.01186368,0.016100192,0.008132721,0.009095044,0.000696103,0.005623513,-0.002988739,0.004992582,0.012779547,0.009216106,0.012459335,0.005125253,-0.001700172,0.002618755,0.008691173,0.011214466,0.010693968,0.010966132,-0.009826613
s11,0.050455735,0.139578709,0.079432703,0.15227805,0.06704457,0.151525964,0.045928407,0.118232347,0.106566388,0.037771135,0.099950941,0.05350094,0.108890316,0.052773914,0.104488624,0.041583618,0.089817675,0.081549438,0.108516241,0.090124779,0.09421548,0.084306183,0.111493511,0.078793039,0.04921531,0.053827603,0.04137924,0.024392428,0.051759287,0.030491165,0.039932166,0.022629122,0.059433583,0.096115281,0.063022522,0.104569399,0.054857341,0.109681646,0.032337115,0.082659135,0.068843095,0.038310225,0.066835706,0.057614312,0.05740818,0.0399468,0.073343003,0.041263554,0.042652723,0.065551494,0.051961324,0.078616535,0.044452964,0.062482951,0.055160969,0.06364527,0.044859816,0.050946816,0.027631493,0.023856202,0.049258842,0.030970176,0.037759995,0.013340573,0.007883237,0.00944101,0.00773405,-0.005971744,0.008816968,0.017203146,0.014526491,0.008130013,0.021943087,0.012018779,0.039083088,0.001347134,0.02744403,0.005520449,0.036380788,-0.002521487,0.003866977,0.029722867,0.02416359,0.019141027,0.011274268,0.027109202,0.025260422,0.007423686,0.01259666,0.004206349,-0.003596527,0.000854844,0.000163882,0.00873434,0.009934347,0.001424836
s12,0.059072103,0.103517968,0.068830271,0.078717794,0.028340968,0.101450528,0.056654101,0.088773676,0.085851934,0.103580705,0.159484988,0.09237765,0.107425894,0.098320934,0.126829982,0.089046547,0.037529492,0.079456101,0.120583779,0.076007787,0.068443535,0.083343361,0.080446099,0.064578814,0.065799233,0.039026394,0.028466247,0.04587486,0.054100709,0.05463558,0.030403766,0.038705922,0.080149881,0.091690847,0.071478163,0.114446354,0.057447189,0.103786775,0.06011271,0.107166836,0.079658516,0.104860225,0.152248664,0.059399905,0.090667601,0.081759029,0.1181374,0.076261925,0.023521922,0.06763145,0.100647114,0.061694322,0.058075993,0.083355976,0.080935991,0.058714372,0.094185531,0.047473674,0.059606369,0.038122904,0.073483617,0.05549134,0.041770322,0.04970772,0.047672012,0.005537782,0.02279912,0.037976522,0.015185334,0.020908116,0.040950076,0.023374978,0.025631723,0.028751628,0.029434746,0.004794388,0.007247349,0.023150696,0.025957816,0.018645185,0.010981814,0.014458833,0.022933632,0.011169238,0.02366364,0.018294462,0.011273553,0.008921446,0.045311465,-0.010756801,0.026573404,-0.00753197,0.029832685,0.015186772,0.008060585,0.001168706
s13,0.109459423,0.186942082,0.103405561,0.121291179,0.098274946,0.155912725,0.100287838,0.106607679,0.116400868,0.09944933,0.17380566,0.111288045,0.132779385,0.102145471,0.142653243,0.091274177,0.114799817,0.086662119,0.15426849,0.116175377,0.123451385,0.10278202,0.128523201,0.108709637,0.093966213,0.05157557,0.048584008,0.047155551,0.061691078,0.045218099,0.062469971,0.042117952,0.070099774,0.124421498,0.106637096,0.124319587,0.076589217,0.130541058,0.075406837,0.100301051,0.101600844,0.089238339,0.146528277,0.102108659,0.067601909,0.091782419,0.083060115,0.069556599,0.100295045,0.063849902,0.09184101,0.101320402,0.096175925,0.081419563,0.100033479,0.077543358,0.134810441,0.034591708,0.067604861,0.059813435,0.084782195,0.041431563,0.061798452,0.052899898,0.022520426,0.05672475,0.023178431,0.047486148,0.0243274,0.020094265,0.018150227,0.017878806,0.016048944,0.016631774,0.031037037,0.027419297,0.017170505,0.020462978,0.020009377,0.018304696,0.008658636,0.035370483,0.027951338,0.023388553,0.0211679,0.026969342,0.009522819,0.014442977,0.025044351,0.012806454,0.012355908,0.008785201,0.024121031,0.018149241,0.007315453,0.002877578
